Employee ID,Tier,Question #,Role,Tier,Element,Question Type,Question,Numeric Response,Response
test employee 1,Operational,15,Senior,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,3,Somewhat agree
test employee 1,Operational,16,Senior,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,1,Disagree
test employee 1,Operational,17,Senior,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,3,Somewhat agree
test employee 1,Operational,18,Senior,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,2,Somewhat disagree
test employee 1,Operational,19,Senior,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,2,Somewhat disagree
test employee 1,Operational,20,Senior,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,4,Agree
test employee 1,Operational,21,Senior,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,3,Somewhat agree
test employee 1,Operational,22,Senior,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,2,Somewhat disagree
test employee 1,Operational,23,Senior,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,2,Somewhat disagree
test employee 1,Operational,24,Senior,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,2,Somewhat disagree
test employee 1,Transactional,25,Senior,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,1,Disagree
test employee 1,Transactional,26,Senior,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,3,Somewhat agree
test employee 1,Transactional,27,Senior,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,1,Disagree
test employee 1,Transactional,28,Senior,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,1,Disagree
test employee 1,Transactional,29,Senior,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,1,Disagree
test employee 1,Transactional,30,Senior,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,3,Somewhat agree
test employee 1,Transactional,31,Senior,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,3,Somewhat agree
test employee 1,Transactional,32,Senior,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,3,Somewhat agree
test employee 1,Transactional,33,Senior,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,3,Somewhat agree
test employee 1,Transactional,34,Senior,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,2,Somewhat disagree
test employee 1,Transactional,35,Senior,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,2,Somewhat disagree
test employee 1,Transactional,36,Senior,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,3,Somewhat agree
test employee 2,Executive,1,Senior,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,3,Somewhat agree
test employee 2,Executive,2,Senior,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,1,Disagree
test employee 2,Executive,3,Senior,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,Somewhat agree
test employee 2,Executive,4,Senior,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,Agree
test employee 2,Executive,5,Senior,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,3,Somewhat agree
test employee 2,Executive,6,Senior,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,1,Disagree
test employee 2,Executive,7,Senior,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,2,Somewhat disagree
test employee 2,Executive,8,Senior,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,4,Agree
test employee 2,Executive,9,Senior,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,2,Somewhat disagree
test employee 2,Executive,10,Senior,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,3,Somewhat agree
test employee 2,Executive,11,Senior,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,Disagree
test employee 2,Executive,12,Senior,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,1,Disagree
test employee 2,Operational,13,Senior,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,Somewhat agree
test employee 2,Operational,14,Senior,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,2,Somewhat disagree
test employee 2,Operational,15,Senior,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,2,Somewhat disagree
test employee 2,Operational,16,Senior,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,1,Disagree
test employee 2,Operational,17,Senior,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,3,Somewhat agree
test employee 2,Operational,18,Senior,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,3,Somewhat agree
test employee 2,Operational,19,Senior,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,4,Agree
test employee 2,Operational,20,Senior,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,3,Somewhat agree
test employee 2,Operational,21,Senior,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,3,Somewhat agree
test employee 2,Operational,22,Senior,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,3,Somewhat agree
test employee 2,Operational,23,Senior,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,3,Somewhat agree
test employee 2,Operational,24,Senior,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,2,Somewhat disagree
test employee 2,Transactional,25,Senior,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,2,Somewhat disagree
test employee 2,Transactional,26,Senior,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,2,Somewhat disagree
test employee 2,Transactional,27,Senior,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,2,Somewhat disagree
test employee 2,Transactional,28,Senior,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,1,Disagree
test employee 2,Transactional,29,Senior,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,1,Disagree
test employee 2,Transactional,30,Senior,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,3,Somewhat agree
test employee 2,Transactional,31,Senior,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,2,Somewhat disagree
test employee 2,Transactional,32,Senior,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,2,Somewhat disagree
test employee 2,Transactional,33,Senior,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,4,Agree
test employee 2,Transactional,34,Senior,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,3,Somewhat agree
test employee 2,Transactional,35,Senior,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,2,Somewhat disagree
test employee 2,Transactional,36,Senior,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,3,Somewhat agree
test employee 3,Executive,1,Senior,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,3,Somewhat agree
test employee 3,Executive,2,Senior,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,3,Somewhat agree
test employee 3,Executive,3,Senior,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,Somewhat agree
test employee 3,Executive,4,Senior,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,3,Somewhat agree
test employee 3,Executive,5,Senior,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,2,Somewhat disagree
test employee 3,Executive,6,Senior,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,1,Disagree
test employee 3,Executive,7,Senior,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,2,Somewhat disagree
test employee 3,Executive,8,Senior,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,3,Somewhat agree
test employee 3,Executive,9,Senior,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,3,Somewhat agree
test employee 3,Executive,10,Senior,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,1,Disagree
test employee 3,Executive,11,Senior,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,Disagree
test employee 3,Executive,12,Senior,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,1,Disagree
test employee 3,Operational,13,Senior,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,Somewhat agree
test employee 3,Operational,14,Senior,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,2,Somewhat disagree
test employee 3,Operational,15,Senior,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,4,Agree
test employee 3,Operational,16,Senior,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,2,Somewhat disagree
test employee 3,Operational,17,Senior,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,3,Somewhat agree
test employee 3,Operational,18,Senior,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,2,Somewhat disagree
test employee 3,Operational,19,Senior,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,3,Somewhat agree
test employee 3,Operational,20,Senior,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,3,Somewhat agree
test employee 3,Operational,21,Senior,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,3,Somewhat agree
test employee 3,Operational,22,Senior,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,3,Somewhat agree
test employee 3,Operational,23,Senior,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,4,Agree
test employee 3,Operational,24,Senior,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,3,Somewhat agree
test employee 3,Transactional,25,Senior,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,1,Disagree
test employee 3,Transactional,26,Senior,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,3,Somewhat agree
test employee 3,Transactional,27,Senior,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,2,Somewhat disagree
test employee 3,Transactional,28,Senior,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,2,Somewhat disagree
test employee 3,Transactional,29,Senior,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,3,Somewhat agree
test employee 3,Transactional,30,Senior,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,2,Somewhat disagree
test employee 3,Transactional,31,Senior,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,2,Somewhat disagree
test employee 3,Transactional,32,Senior,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,3,Somewhat agree
test employee 3,Transactional,33,Senior,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,4,Agree
test employee 3,Transactional,34,Senior,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,1,Disagree
test employee 3,Transactional,35,Senior,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,1,Disagree
test employee 3,Transactional,36,Senior,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,4,Agree
test employee 4,Executive,1,Senior,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,4,Agree
test employee 4,Executive,2,Senior,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,Somewhat disagree
test employee 4,Executive,3,Senior,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,4,Agree
test employee 4,Executive,4,Senior,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,2,Somewhat disagree
test employee 4,Executive,5,Senior,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,2,Somewhat disagree
test employee 4,Executive,6,Senior,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,1,Disagree
test employee 4,Executive,7,Senior,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,3,Somewhat agree
test employee 4,Executive,8,Senior,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,4,Agree
test employee 4,Executive,9,Senior,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,2,Somewhat disagree
test employee 4,Executive,10,Senior,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,2,Somewhat disagree
test employee 4,Executive,11,Senior,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,2,Somewhat disagree
test employee 4,Executive,12,Senior,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,3,Somewhat agree
test employee 4,Operational,13,Senior,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,Somewhat agree
test employee 4,Operational,14,Senior,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,2,Somewhat disagree
test employee 4,Operational,15,Senior,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,3,Somewhat agree
test employee 4,Operational,16,Senior,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,2,Somewhat disagree
test employee 4,Operational,17,Senior,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,3,Somewhat agree
test employee 4,Operational,18,Senior,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,3,Somewhat agree
test employee 4,Operational,19,Senior,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,4,Agree
test employee 4,Operational,20,Senior,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,4,Agree
test employee 4,Operational,21,Senior,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,1,Disagree
test employee 4,Operational,22,Senior,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,3,Somewhat agree
test employee 4,Operational,23,Senior,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,4,Agree
test employee 4,Operational,24,Senior,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,1,Disagree
test employee 4,Transactional,25,Senior,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,1,Disagree
test employee 4,Transactional,26,Senior,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,2,Somewhat disagree
test employee 4,Transactional,27,Senior,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,2,Somewhat disagree
test employee 4,Transactional,28,Senior,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,1,Disagree
test employee 4,Transactional,29,Senior,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,3,Somewhat agree
test employee 4,Transactional,30,Senior,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,3,Somewhat agree
test employee 4,Transactional,31,Senior,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,3,Somewhat agree
test employee 4,Transactional,32,Senior,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,2,Somewhat disagree
test employee 4,Transactional,33,Senior,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,4,Agree
test employee 4,Transactional,34,Senior,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,2,Somewhat disagree
test employee 4,Transactional,35,Senior,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,2,Somewhat disagree
test employee 4,Transactional,36,Senior,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,3,Somewhat agree
test employee 5,Executive,1,Senior,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,4,Agree
test employee 5,Executive,2,Senior,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,1,Disagree
test employee 5,Executive,3,Senior,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,4,Agree
test employee 5,Executive,4,Senior,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,2,Somewhat disagree
test employee 5,Executive,5,Senior,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,2,Somewhat disagree
test employee 5,Executive,6,Senior,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,2,Somewhat disagree
test employee 5,Executive,7,Senior,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,3,Somewhat agree
test employee 5,Executive,8,Senior,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,3,Somewhat agree
test employee 5,Executive,9,Senior,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,3,Somewhat agree
test employee 5,Executive,10,Senior,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,3,Somewhat agree
test employee 5,Executive,11,Senior,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,Disagree
test employee 5,Executive,12,Senior,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,1,Disagree
test employee 5,Operational,13,Senior,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,Somewhat agree
test employee 5,Operational,14,Senior,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,2,Somewhat disagree
test employee 5,Operational,15,Senior,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,3,Somewhat agree
test employee 5,Operational,16,Senior,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,2,Somewhat disagree
test employee 5,Operational,17,Senior,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,3,Somewhat agree
test employee 5,Operational,18,Senior,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,3,Somewhat agree
test employee 5,Operational,19,Senior,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,2,Somewhat disagree
test employee 5,Operational,20,Senior,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,3,Somewhat agree
test employee 5,Operational,21,Senior,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,2,Somewhat disagree
test employee 5,Operational,22,Senior,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,3,Somewhat agree
test employee 5,Operational,23,Senior,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,2,Somewhat disagree
test employee 5,Operational,24,Senior,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,1,Disagree
test employee 5,Transactional,25,Senior,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,2,Somewhat disagree
test employee 5,Transactional,26,Senior,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,2,Somewhat disagree
test employee 5,Transactional,27,Senior,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,1,Disagree
test employee 5,Transactional,28,Senior,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,2,Somewhat disagree
test employee 5,Transactional,29,Senior,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,1,Disagree
test employee 5,Transactional,30,Senior,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,2,Somewhat disagree
test employee 5,Transactional,31,Senior,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,3,Somewhat agree
test employee 5,Transactional,32,Senior,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,3,Somewhat agree
test employee 5,Transactional,33,Senior,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,3,Somewhat agree
test employee 5,Transactional,34,Senior,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,3,Somewhat agree
test employee 5,Transactional,35,Senior,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,2,Somewhat disagree
test employee 5,Transactional,36,Senior,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,4,Agree
test employee 6,Executive,1,Senior,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,3,Somewhat agree
test employee 6,Executive,2,Senior,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,3,Somewhat agree
test employee 6,Executive,3,Senior,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,4,Agree
test employee 6,Executive,4,Senior,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,Agree
test employee 6,Executive,5,Senior,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,3,Somewhat agree
test employee 6,Executive,6,Senior,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,1,Disagree
test employee 6,Executive,7,Senior,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,2,Somewhat disagree
test employee 6,Executive,8,Senior,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,2,Somewhat disagree
test employee 6,Executive,9,Senior,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,2,Somewhat disagree
test employee 6,Executive,10,Senior,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,3,Somewhat agree
test employee 6,Executive,11,Senior,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,1,Disagree
test employee 6,Executive,12,Senior,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,2,Somewhat disagree
test employee 6,Operational,13,Senior,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,3,Somewhat agree
