Company,Emlpoyee ID,Role,Tier,Element,Question Type,Question,Question num,Numeric Response,Response
Company A,test employee 1,Executive,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,29,3,Somewhat agree
Company A,test employee 1,Executive,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,30,2,Somewhat disagree
Company A,test employee 1,Executive,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,31,2,Somewhat disagree
Company A,test employee 1,Executive,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,32,2,Somewhat disagree
Company A,test employee 1,Executive,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,33,3,Somewhat agree
Company A,test employee 1,Executive,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,34,1,Disagree
Company A,test employee 1,Executive,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,35,1,Disagree
Company A,test employee 1,Executive,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,36,4,Agree
Company A,test employee 2,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,1,4,Agree
Company A,test employee 2,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,2,Somewhat disagree
Company A,test employee 2,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,4,Agree
Company A,test employee 2,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,3,Somewhat agree
Company A,test employee 2,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,5,2,Somewhat disagree
Company A,test employee 2,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,6,1,Disagree
Company A,test employee 2,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,7,2,Somewhat disagree
Company A,test employee 2,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,8,4,Agree
Company A,test employee 2,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,9,2,Somewhat disagree
Company A,test employee 2,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,10,2,Somewhat disagree
Company A,test employee 2,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,11,1,Disagree
Company A,test employee 2,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,12,3,Somewhat agree
Company A,test employee 2,Executive,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,13,3,Somewhat agree
Company A,test employee 2,Executive,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,14,2,Somewhat disagree
Company A,test employee 2,Executive,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,15,2,Somewhat disagree
Company A,test employee 2,Executive,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,16,1,Disagree
Company A,test employee 2,Executive,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,17,3,Somewhat agree
Company A,test employee 2,Executive,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,18,3,Somewhat agree
Company A,test employee 2,Executive,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,19,4,Agree
Company A,test employee 2,Executive,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,20,3,Somewhat agree
Company A,test employee 2,Executive,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,21,3,Somewhat agree
Company A,test employee 2,Executive,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,22,2,Somewhat disagree
Company A,test employee 2,Executive,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,23,3,Somewhat agree
Company A,test employee 2,Executive,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,24,3,Somewhat agree
Company A,test employee 2,Executive,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,25,1,Disagree
Company A,test employee 2,Executive,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,26,2,Somewhat disagree
Company A,test employee 2,Executive,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,27,1,Disagree
Company A,test employee 2,Executive,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,28,2,Somewhat disagree
Company A,test employee 2,Executive,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,29,1,Disagree
Company A,test employee 2,Executive,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,30,3,Somewhat agree
Company A,test employee 2,Executive,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,31,3,Somewhat agree
Company A,test employee 2,Executive,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,32,3,Somewhat agree
Company A,test employee 2,Executive,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,33,4,Agree
Company A,test employee 2,Executive,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,34,2,Somewhat disagree
Company A,test employee 2,Executive,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,35,1,Disagree
Company A,test employee 2,Executive,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,36,4,Agree
Company A,test employee 3,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,1,3,Somewhat agree
Company A,test employee 3,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,2,Somewhat disagree
Company A,test employee 3,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,4,Agree
Company A,test employee 3,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,4,Agree
Company A,test employee 3,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,5,3,Somewhat agree
Company A,test employee 3,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,6,1,Disagree
Company A,test employee 3,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,7,3,Somewhat agree
Company A,test employee 3,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,8,3,Somewhat agree
Company A,test employee 3,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,9,3,Somewhat agree
Company A,test employee 3,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,10,4,Agree
Company A,test employee 3,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,11,1,Disagree
Company A,test employee 3,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,12,1,Disagree
Company A,test employee 3,Executive,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,13,3,Somewhat agree
Company A,test employee 3,Executive,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,14,3,Somewhat agree
Company A,test employee 3,Executive,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,15,4,Agree
Company A,test employee 3,Executive,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,16,1,Disagree
Company A,test employee 3,Executive,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,17,3,Somewhat agree
Company A,test employee 3,Executive,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,18,3,Somewhat agree
Company A,test employee 3,Executive,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,19,4,Agree
Company A,test employee 3,Executive,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,20,3,Somewhat agree
Company A,test employee 3,Executive,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,21,2,Somewhat disagree
Company A,test employee 3,Executive,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,22,3,Somewhat agree
Company A,test employee 3,Executive,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,23,2,Somewhat disagree
Company A,test employee 3,Executive,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,24,1,Disagree
Company A,test employee 3,Executive,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,25,1,Disagree
Company A,test employee 3,Executive,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,26,2,Somewhat disagree
Company A,test employee 3,Executive,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,27,2,Somewhat disagree
Company A,test employee 3,Executive,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,28,1,Disagree
Company A,test employee 3,Executive,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,29,3,Somewhat agree
Company A,test employee 3,Executive,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,30,3,Somewhat agree
Company A,test employee 3,Executive,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,31,2,Somewhat disagree
Company A,test employee 3,Executive,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,32,2,Somewhat disagree
Company A,test employee 3,Executive,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,33,4,Agree
Company A,test employee 3,Executive,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,34,3,Somewhat agree
Company A,test employee 3,Executive,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,35,1,Disagree
Company A,test employee 3,Executive,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,36,4,Agree
Company A,test employee 4,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,1,3,Somewhat agree
Company A,test employee 4,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,3,Somewhat agree
Company A,test employee 4,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,3,Somewhat agree
Company A,test employee 4,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,4,Agree
Company A,test employee 4,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,5,3,Somewhat agree
Company A,test employee 4,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,6,1,Disagree
Company A,test employee 4,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,7,2,Somewhat disagree
Company A,test employee 4,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,8,3,Somewhat agree
Company A,test employee 4,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,9,3,Somewhat agree
Company A,test employee 4,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,10,3,Somewhat agree
Company A,test employee 4,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,11,1,Disagree
Company A,test employee 4,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,12,1,Disagree
Company A,test employee 4,Executive,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,13,3,Somewhat agree
Company A,test employee 4,Executive,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,14,3,Somewhat agree
Company A,test employee 4,Executive,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,15,3,Somewhat agree
Company A,test employee 4,Executive,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,16,1,Disagree
Company A,test employee 4,Executive,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,17,3,Somewhat agree
Company A,test employee 4,Executive,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,18,3,Somewhat agree
Company A,test employee 4,Executive,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,19,4,Agree
Company A,test employee 4,Executive,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,20,3,Somewhat agree
Company A,test employee 4,Executive,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,21,3,Somewhat agree
Company A,test employee 4,Executive,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,22,2,Somewhat disagree
Company A,test employee 4,Executive,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,23,4,Agree
Company A,test employee 4,Executive,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,24,1,Disagree
Company A,test employee 4,Executive,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,25,1,Disagree
Company A,test employee 4,Executive,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,26,2,Somewhat disagree
Company A,test employee 4,Executive,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,27,1,Disagree
Company A,test employee 4,Executive,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,28,1,Disagree
Company A,test employee 4,Executive,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,29,3,Somewhat agree
Company A,test employee 4,Executive,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,30,2,Somewhat disagree
Company A,test employee 4,Executive,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,31,2,Somewhat disagree
Company A,test employee 4,Executive,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,32,2,Somewhat disagree
Company A,test employee 4,Executive,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,33,3,Somewhat agree
Company A,test employee 4,Executive,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,34,2,Somewhat disagree
Company A,test employee 4,Executive,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,35,1,Disagree
Company A,test employee 4,Executive,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,36,4,Agree
Company A,test employee 5,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,1,4,Agree
Company A,test employee 5,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,1,Disagree
Company A,test employee 5,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,3,Somewhat agree
Company A,test employee 5,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,3,Somewhat agree
Company A,test employee 5,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,5,3,Somewhat agree
Company A,test employee 5,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,6,1,Disagree
Company A,test employee 5,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,7,2,Somewhat disagree
Company A,test employee 5,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,8,2,Somewhat disagree
Company A,test employee 5,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,9,3,Somewhat agree
Company A,test employee 5,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,10,3,Somewhat agree
Company A,test employee 5,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,11,2,Somewhat disagree
Company A,test employee 5,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,12,3,Somewhat agree
Company A,test employee 5,Executive,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,13,3,Somewhat agree
Company A,test employee 5,Executive,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,14,3,Somewhat agree
Company A,test employee 5,Executive,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,15,2,Somewhat disagree
Company A,test employee 5,Executive,Operational,CONFIG’N / Orchestration,Information,Does each distinctive contributor (individual or workgroup) have a profile of their role capability that is easily discoverable  company-wide?,16,1,Disagree
Company A,test employee 5,Executive,Operational,CONFIG’N / Orchestration,Behavior,Do terms of cooperative agreement usually frame requests and discussions  for collaboration?,17,3,Somewhat agree
Company A,test employee 5,Executive,Operational,CONFIG’N / Orchestration,Benefit,Are stakeholders routinely acknowledged for their performance and impact as collaborators?,18,2,Somewhat disagree
Company A,test employee 5,Executive,Operational,DESIGN / Scope,Information,Are program managers usually part of the change design team?,19,3,Somewhat agree
Company A,test employee 5,Executive,Operational,DESIGN / Scope,Behavior,Is impact analysis of proposals done before approvals occur?,20,4,Agree
Company A,test employee 5,Executive,Operational,DESIGN / Scope,Benefit,Are all participants invited to join the impact assessment?,21,3,Somewhat agree
Company A,test employee 5,Executive,Operational,DEV / Completeness,Information,Are projects sized for deliverability instead of for other reasons?,22,2,Somewhat disagree
Company A,test employee 5,Executive,Operational,DEV / Completeness,Behavior,Is production defined by deliverables more than by process?,23,3,Somewhat agree
Company A,test employee 5,Executive,Operational,DEV / Completeness,Benefit,Do new proposals usually incorporate the output of other current or proposed changes?,24,3,Somewhat agree
Company A,test employee 5,Executive,Transactional,AGILITY / Systems,Information,Are both legacy and new methods being adapted to prioritize change execution (not just business-as-usual) effects?,25,1,Disagree
Company A,test employee 5,Executive,Transactional,AGILITY / Systems,Behavior,Does recommended practice accept a range of methods for meeting  objectives?,26,2,Somewhat disagree
Company A,test employee 5,Executive,Transactional,AGILITY / Systems,Benefit,Do workers have sufficient autonomy to create solution proposals for any change?,27,2,Somewhat disagree
Company A,test employee 5,Executive,Transactional,VALUE NTWKG / Execution,Information,Can functional workgroups confidently take on a full time posture as service providers?,28,1,Disagree
Company A,test employee 5,Executive,Transactional,VALUE NTWKG / Execution,Behavior,Do all “collaborators” accept equal accountability in agreeing to share work?,29,2,Somewhat disagree
Company A,test employee 5,Executive,Transactional,VALUE NTWKG / Execution,Benefit,Is leadership recognized independently of job titles?,30,3,Somewhat agree
Company A,test employee 5,Executive,Transactional,STAKEHOLDER ROI / Feedback,Information,Are all workgroup members able to see when they should initiate adjustments among the workgroup?,31,3,Somewhat agree
Company A,test employee 5,Executive,Transactional,STAKEHOLDER ROI / Feedback,Behavior,Does performance evaluation of processing recognize a range of outcomes as being valuable?,32,2,Somewhat disagree
Company A,test employee 5,Executive,Transactional,STAKEHOLDER ROI / Feedback,Benefit,Is the individual’s employment security increased with commitments to change initiatives?,33,3,Somewhat agree
Company A,test employee 5,Executive,Transactional,CAPABILITY MATURITY / Learning,Information,Is always-on user and technical support explicitly established to help FTEs manage change?,34,3,Somewhat agree
Company A,test employee 5,Executive,Transactional,CAPABILITY MATURITY / Learning,Behavior,Are professional development allowances protected from other competing pressures of demand?,35,2,Somewhat disagree
Company A,test employee 5,Executive,Transactional,CAPABILITY MATURITY / Learning,Benefit,Are individuals free to join learning programs for changes where they do not also have assignments?,36,3,Somewhat agree
Company A,test employee 6,Executive,Executive,STRATEGY / Credibility,Information,Are key influencers regularly speaking for themselves in the public communications?,1,3,Somewhat agree
Company A,test employee 6,Executive,Executive,STRATEGY / Credibility,Behavior,Is all or most communication explicitly published by an executive level change leader?,2,2,Somewhat disagree
Company A,test employee 6,Executive,Executive,STRATEGY / Credibility,Benefit,Can participants see alignment of their preferences and responsibilities as influencers?,3,4,Agree
Company A,test employee 6,Executive,Executive,PORTFOLIO / Progress,Information,Can participants easily see where their own impact is benefiting progress?,4,4,Agree
Company A,test employee 6,Executive,Executive,PORTFOLIO / Progress,Behavior,Do management leads show collaboration with each other in discussions and decisions?,5,2,Somewhat disagree
Company A,test employee 6,Executive,Executive,PORTFOLIO / Progress,Benefit,Are proposed impacts described both as outcomes and support?,6,2,Somewhat disagree
Company A,test employee 6,Executive,Executive,CAMPAIGN / Engagement,Information,Does messaging consistently treat change effort as being driven by stakeholders’ benefits?,7,2,Somewhat disagree
Company A,test employee 6,Executive,Executive,CAMPAIGN / Engagement,Behavior,Are existing legacy communication channels directing staff to the shared change tracking?,8,3,Somewhat agree
Company A,test employee 6,Executive,Executive,CAMPAIGN / Engagement,Benefit,Are work managers successfully translating the right ideas into the right languages?,9,2,Somewhat disagree
Company A,test employee 6,Executive,Executive,KNOWL MGMT / Transparency,Information,Is a “best place to work” story coming through clearly in communications?,10,1,Disagree
Company A,test employee 6,Executive,Executive,KNOWL MGMT / Transparency,Behavior,Do employees have simple always-on access to a dashboard & scorecard of change initiatives?,11,2,Somewhat disagree
Company A,test employee 6,Executive,Executive,KNOWL MGMT / Transparency,Benefit,Is knowledge development clearly identified as both a requirement and an opportunity?,12,3,Somewhat agree
Company A,test employee 6,Executive,Operational,BUS ARCH / Transitions,Information,Can staff see and promptly recognize plan modifications that change their own expected contribution?,13,3,Somewhat agree
Company A,test employee 6,Executive,Operational,BUS ARCH / Transitions,Behavior,Can staff contribute easily to the business process designs?,14,2,Somewhat disagree
Company A,test employee 6,Executive,Operational,BUS ARCH / Transitions,Benefit,Is a performance management system used to support talent and skill development for change?,15,4,Agree
